,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
137,vestmannaeyjar,80,IS,1554714000,86,63.4427,-20.2734,40.93,19.42
138,carnarvon,48,ZA,1554714000,72,-30.9678,22.1333,63.61,9.51
139,new norfolk,64,AU,1554714000,75,-42.7802,147.0615,59.13,15.43
140,tura,44,IN,1554714000,79,25.5174,90.2067,78.46,3.24
141,camalu,0,MX,1554714000,70,30.85,-116.0667,50.1,1.74
142,san cristobal,44,EC,1554714000,100,-0.3855,-78.5488,47.61,2.19
143,zilair,76,RU,1554714000,77,52.2337,57.4415,44.53,3.24
144,jalu,0,LY,1554714000,51,29.0331,21.5482,76.3,13.09
145,bingol,92,TR,1554714000,98,38.8847,40.4939,46.78,3.09
146,lebu,0,ET,1554714000,31,8.9611,38.7254,85.41,4.7
147,mabaruma,0,GY,1554714000,95,8.1986,-59.7817,72.88,6.04
148,aroeiras,64,BR,1554714000,95,-7.5463,-35.7081,72.63,3.69
149,provideniya,8,RU,1554714000,100,64.4238,-173.2276,16.26,29.71
150,hashtrud,32,IR,1554714000,77,37.476,47.0499,51.73,4.32
151,bambous virieux,100,MU,1554714000,84,-20.3428,57.7575,81.61,13.27
152,sarankhola,0,BD,1554714000,45,22.3082,89.7897,92.86,12.82
153,mahon,24,IE,1554714000,95,51.8922,-8.4043,49.92,17.4
154,nizwa,0,OM,1554714000,15,22.9324,57.5311,97.36,9.24
155,vardo,88,US,1554714000,96,39.6165,-77.7392,60.72,5.55
156,chicama,68,PE,1554714000,91,-7.8435,-79.1452,67.74,2.3
157,brigantine,92,US,1554714000,95,39.4101,-74.3646,53.15,13.94
158,sept-iles,0,CA,1554714000,63,50.2001,-66.3821,3.38,4.36
159,katherine,92,AU,1554714000,88,-14.4657,132.2631,85.24,12.53
160,hasaki,92,JP,1554714000,100,35.7333,140.8333,51.08,12.82
161,mayna,8,RU,1554714000,55,52.9983,91.4871,35.62,2.24
162,tandlianwala,0,PK,1554714000,66,31.0322,73.1332,84.94,11.81
163,hirara,24,JP,1554714000,100,24.8,125.2833,79.81,10.92
164,kruisfontein,64,ZA,1554714000,72,-34.0034,24.7314,69.19,2.24
165,kenai,0,US,1554714000,76,60.5544,-151.2584,35.52,3.98
166,goderich,92,CA,1554714000,100,43.7407,-81.7078,48.39,20.13
167,mayo,44,CA,1554714000,63,63.5927,-135.8962,30.07,4.81
168,beatrice,0,US,1554714000,74,40.2664,-96.7474,48.48,4.09
169,batagay,0,RU,1554714000,62,67.6549,134.6351,30.76,2.86
170,saskylakh,20,RU,1554714000,88,71.965,114.0939,20.5,3.58
171,jieshi,76,CN,1554714000,82,22.8158,115.8258,83.77,9.8
172,rovaniemi,88,FI,1554714000,66,66.4976,25.7192,29.94,10.92
173,thompson,92,CA,1554714000,75,55.7433,-97.8635,16.35,8.05
174,klaksvik,88,FO,1554714000,93,62.2266,-6.5891,43.17,24.11
175,kalmar,0,SE,1554714000,69,56.6616,16.3616,42.99,12.03
176,carutapera,12,BR,1554714000,95,-1.2017,-46.0206,74.14,2.98
177,dudinka,68,RU,1554714000,93,69.4061,86.1751,18.43,11.86
178,eslov,48,SE,1554714000,79,55.8393,13.3039,46.95,12.26
179,panzhihua,80,CN,1554714000,26,26.586,101.7179,79.17,7.61
180,joetsu,68,JP,1554714000,100,37.1468,138.2354,46.51,10.51
181,nivala,92,FI,1554714000,86,63.929,24.9613,35.61,9.35
182,zolotonosha,20,UA,1554714000,54,49.6688,32.0433,59.83,11.63
183,parakai,0,NZ,1554714000,93,-36.6603,174.4366,63.69,18.68
184,sinnamary,80,GF,1554714000,96,5.3772,-52.9574,79.27,11.59
185,georgetown,48,GY,1554714000,79,6.8026,-58.1629,74.22,4.88
186,beringovskiy,56,RU,1554714000,86,63.05,179.3167,13.39,23.94
187,comodoro rivadavia,68,AR,1554714000,100,-45.8654,-67.4808,54.34,4.7
188,san vicente,8,SV,1554714000,93,13.6433,-88.7837,67.56,1.97
189,okhotsk,8,RU,1554714000,74,59.3644,143.2411,31.84,5.55
190,hambantota,24,LK,1554714000,94,6.1241,81.1185,92.03,10.25
191,lompoc,68,US,1554714000,94,34.6392,-120.458,57.92,8.23
192,lakatoro,0,VU,1554714000,87,-16.1069,167.4185,79.9,9.73
193,padang,20,ID,1554714000,100,-0.9248,100.3633,84.22,12.26
194,nanortalik,80,GL,1554714000,89,60.1432,-45.2372,35.17,26.62
195,voznesenye,36,RU,1554714000,74,61.0184,35.4771,43.9,9.73
196,salalah,0,OM,1554714000,96,17.0149,54.0957,86.32,9.01
197,matamoros,0,US,1554714000,90,25.8705,-97.5067,62.19,2.75
198,luderitz,0,NA,1554714000,93,-26.6481,15.1594,61.81,9.35
199,tessalit,0,ML,1554714000,22,20.2009,1.014,75.76,5.21
200,longyearbyen,8,NO,1554714000,87,78.2198,15.6349,14.67,3.24
201,ban nahin,20,LA,1554714000,53,18.2418,104.2122,91.51,3.09
202,eyl,24,SO,1554714000,87,7.9808,49.8184,83.05,7.34
203,la palma,64,CO,1554714000,97,5.3606,-74.3906,63.88,0.74
204,ancud,88,CL,1554714000,98,-41.8682,-73.8288,55.13,2.57
205,raudeberg,36,NO,1554714000,83,61.9875,5.1352,43.34,3.69
206,harper,12,US,1554714000,89,30.2999,-99.2443,52.35,2.08
207,chokurdakh,68,RU,1554714000,86,70.6192,147.9022,16.63,2.98
208,saldanha,44,PT,1554714000,92,41.4184,-6.5524,47.14,8.28
209,peace river,0,CA,1554714000,64,56.2337,-117.2911,34.8,6.55
210,isangel,12,VU,1554714000,100,-19.55,169.2667,79.3,9.13
211,lagoa,24,PT,1554714000,90,37.1363,-8.4541,59.23,7.27
212,san rafael,0,AR,1554714000,69,-34.6127,-68.3306,47.59,3.69
213,cheyenne,0,US,1554714000,40,41.14,-104.8203,46.9,26.35
214,tautira,80,PF,1554714000,100,-17.7334,-149.15,82.31,16.28
215,husavik,88,CA,1554714000,89,50.5623,-96.9949,34.52,2.86
216,flinders,88,AU,1554714000,48,-34.581,150.846,81.32,8.72
217,samarkand,12,UZ,1554714000,77,39.6548,66.9758,71.24,4.21
218,adrar,0,DZ,1554714000,29,27.8734,-0.2875,76.19,7.38
219,yulara,0,AU,1554714000,20,-25.2411,130.9869,90.01,6.11
220,yeppoon,0,AU,1554714000,68,-23.1349,150.7437,77.14,11.92
221,tocopilla,48,CL,1554714000,100,-22.092,-70.198,59.74,1.34
222,sao filipe,48,CV,1554714000,97,14.8961,-24.4956,71.26,15.17
223,lebanon,92,US,1554714000,99,43.643,-72.2516,39.75,6.49
224,ambad,0,IN,1554714000,23,19.6146,75.7947,100.42,8.72
225,taybad,92,IR,1554714000,98,34.7402,60.7755,60.37,3.2
226,hithadhoo,80,MV,1554714000,100,-0.6,73.0833,83.5,3.69
227,kirensk,36,RU,1554714000,58,57.7764,108.1163,36.34,8.34
228,balotra,0,IN,1554714000,11,25.8348,72.2411,107.53,12.41
229,inhambane,8,MZ,1554714000,76,-23.866,35.3844,83.85,8.9
230,merauke,56,ID,1554714000,93,-8.4903,140.3956,82.6,7.27
231,pueblo nuevo,0,MX,1554714000,85,23.9909,-106.9557,60.98,2.01
232,nishihara,92,JP,1554714000,98,35.7387,139.5312,49.29,4.25
233,tabas,68,IR,1554714000,74,33.596,56.9247,68.63,2.24
234,kandrian,92,PG,1554714000,98,-6.2075,149.5476,76.48,2.08
235,qaqortoq,92,GL,1554714000,93,60.7167,-46.0334,38.68,6.33
236,richards bay,24,ZA,1554714000,77,-28.7745,32.0555,79.81,6.71
237,geraldton,92,CA,1554714000,96,49.7189,-86.9494,33.09,7.72
238,pervomayskiy,92,RU,1554714000,80,53.245,40.2851,48.04,10.25
239,aden,0,YE,1554714000,96,12.7896,45.0285,80.98,10.02
240,kavaratti,12,IN,1554714000,100,10.5669,72.642,86.74,4.7
241,bandarbeyla,0,SO,1554714000,100,9.4942,50.8122,80.89,6.78
242,kagadi,8,UG,1554714000,100,0.9473,30.804,78.73,7.05
243,tezu,68,IN,1554714000,75,27.9254,96.1647,62.8,1.19
244,bud,0,NO,1554714000,89,62.9088,6.9145,38.76,16.62
245,lat yao,32,TH,1554714000,40,15.7516,99.7895,96.01,3.87
246,una,88,BR,1554714000,100,-15.2922,-39.0745,78.27,1.01
247,dhidhdhoo,12,MV,1554714000,100,6.8833,73.1,85.12,2.19
248,ono,88,JP,1554714000,75,35.9794,136.4909,48.24,9.51
249,stykkisholmur,0,IS,1554714000,96,65.0757,-22.7297,34.54,6.11
250,cassia,20,US,1554714000,88,28.8894,-81.4654,69.09,6.38
251,burnie,88,AU,1554714000,100,-41.0524,145.9064,60.63,32.5
252,vao,32,EE,1554714000,83,59.1018,26.1904,40.84,4.25
253,coquimbo,24,CL,1554714000,100,-29.9532,-71.3381,57.66,3.8
254,northam,20,GB,1554714000,90,51.0401,-4.2136,50.7,5.82
255,margate,92,AU,1554714000,100,-43.0274,147.2623,57.85,16.06
256,camopi,92,GF,1554714000,98,3.166,-52.3341,73.87,2.46
257,el triunfo,36,HN,1554714000,78,13.1208,-86.993,72.61,1.57
258,novonikolayevskaya,8,RU,1554714000,44,45.5892,38.3689,68.83,13.6
259,airai,36,TL,1554714000,71,-8.9266,125.4092,79.27,1.52
260,torbay,76,CA,1554714000,100,47.6577,-52.727,25.0,30.6
261,sistranda,0,NO,1554714000,94,63.7256,8.834,36.42,6.89
262,poum,92,MK,1554714000,98,41.2813,20.7117,44.37,1.97
263,guasdualito,12,VE,1554714000,65,7.24,-70.733,76.3,4.88
264,chapais,44,CA,1554714000,74,49.7839,-74.8569,7.35,9.8
265,lisakovsk,8,KZ,1554714000,67,52.5459,62.4892,52.0,9.8
266,shahr-e kord,0,IR,1554714000,57,32.3257,50.8497,71.62,3.58
267,dire,0,ET,1554714000,31,9.1823,38.9236,85.41,4.7
268,ponta delgada,88,PT,1554714000,99,37.7333,-25.6667,59.37,13.6
269,baykit,88,RU,1554714000,75,61.6784,96.3854,26.53,10.29
270,sozimskiy,88,RU,1554714000,84,59.7418,52.2482,38.41,9.28
271,pokhvistnevo,88,RU,1554714000,100,53.6468,52.1233,49.12,4.21
272,hamilton,92,BM,1554714000,100,32.2956,-64.7828,66.57,5.77
273,camocim,48,BR,1554714000,94,-2.9006,-40.8429,72.97,3.87
274,talnakh,76,RU,1554714000,98,69.494,88.3908,16.81,10.36
275,wawa,56,NG,1554714000,75,9.9037,4.4101,85.84,10.85
276,pangai,68,TO,1554714000,96,-19.8,-174.3501,82.41,12.75
277,yankton,8,US,1554714000,60,42.8713,-97.3968,52.18,13.87
278,kushiro,8,JP,1554714000,52,43.1128,144.1501,36.42,8.61
279,pandan,24,PH,1554714000,90,11.7199,122.0946,83.86,15.84
280,broken hill,0,AU,1554714000,32,-31.9651,141.4511,79.7,11.74
281,oktyabrskiy,88,RU,1554714000,94,55.6086,37.9744,46.09,12.26
282,marsh harbour,0,BS,1554714000,100,26.5383,-77.0611,75.58,12.59
283,caravelas,88,BR,1554714000,99,-17.7297,-39.2661,81.7,7.38
284,sisimiut,48,GL,1554714000,87,66.9395,-53.6735,23.65,1.74
285,saint george,92,GR,1554714000,99,39.4548,22.34,54.39,3.36
286,wasco,44,US,1554714000,79,35.5941,-119.341,59.5,2.24
287,marawi,68,PH,1554714000,98,8.0035,124.2866,77.07,2.35
288,ikot ekpene,64,NG,1554714000,100,5.182,7.7132,78.01,8.72
289,vanavara,88,RU,1554714000,61,60.3452,102.2809,32.2,11.36
290,opuwo,0,NA,1554714000,23,-18.0559,13.8371,83.77,4.54
291,witu,76,KE,1554714000,48,-2.3878,40.4393,100.69,9.73
292,chumikan,24,RU,1554714000,65,54.7183,135.315,34.81,1.74
293,marmora,0,IT,1554714000,75,44.4594,7.0934,49.82,1.07
294,kamakwie,12,SL,1554714000,72,9.4963,-12.2413,80.53,4.32
295,berekua,76,DM,1554714000,93,15.2333,-61.3167,77.38,15.77
296,formosa,48,AR,1554714000,81,-26.1853,-58.1745,57.83,7.0
297,danjiangkou,12,CN,1554714000,61,32.5388,111.5114,81.43,11.52
298,cayenne,92,GF,1554714000,90,4.9371,-52.3259,78.0,8.5
299,tres arroyos,0,AR,1554714000,44,-38.3771,-60.2754,62.71,12.93
300,vila franca do campo,68,PT,1554714000,98,37.7167,-25.4334,59.28,14.27
301,boyolangu,64,ID,1554714000,91,-8.0857,111.9026,79.54,3.58
302,dingle,76,PH,1554714000,61,11.0001,122.6718,85.84,13.31
303,vostok,88,RU,1554714000,52,46.448,135.8294,38.41,2.46
304,kodino,32,RU,1554714000,84,63.7191,39.6364,44.98,3.98
305,haines junction,12,CA,1554714000,79,60.7527,-137.5101,29.32,4.36
306,la romana,20,DO,1554714000,91,18.4273,-68.9735,70.98,3.98
307,kamenka,48,RU,1554714000,98,53.185,44.0529,34.63,4.54
308,boende,8,CD,1554714000,78,-0.2837,20.8826,82.96,3.24
309,caluquembe,80,AO,1554714000,100,-13.7834,14.6833,65.68,2.46
310,komsomolskiy,88,RU,1554714000,100,67.5537,63.776,28.96,4.47
311,dunedin,24,NZ,1554714000,84,-45.874,170.5035,44.26,2.53
312,rawson,8,AR,1554714000,92,-43.2992,-65.1057,50.74,5.48
313,tailai,0,CN,1554714000,42,46.3912,123.4115,49.03,9.28
314,liaoyang,0,CN,1554714000,44,41.2743,123.1696,56.86,5.32
315,pak thong chai,24,TH,1554714000,59,14.7251,102.0219,91.23,7.38
316,qadian,0,IN,1554714000,53,31.8194,75.3758,89.98,10.25
317,belmonte,0,PT,1554714000,94,40.3583,-7.3513,53.1,3.53
318,shiyan,24,CN,1554714000,58,32.6451,110.7785,78.01,5.21
319,faanui,92,PF,1554714000,99,-16.4834,-151.75,84.76,18.19
320,colares,80,PT,1554714000,100,38.7992,-9.4463,57.57,13.09
321,beckley,92,US,1554714000,95,37.7782,-81.1882,60.33,4.76
322,saint-philippe,92,CA,1554714000,99,45.3584,-73.4791,34.56,17.63
323,touros,92,BR,1554714000,80,-5.1989,-35.4609,82.14,9.06
324,collie,0,AU,1554714000,31,-33.3592,116.1536,74.22,12.53
325,tashtyp,0,RU,1554714000,58,52.7959,89.8917,37.69,2.46
326,macau,0,BR,1554714000,95,-5.1132,-36.6351,71.53,4.88
327,daru,68,SL,1554714000,98,7.9915,-10.846,75.22,4.32
328,nuuk,68,GL,1554714000,100,64.175,-51.7356,27.24,4.99
329,tovuz,76,AZ,1554714000,60,40.9964,45.6189,70.48,4.09
330,vaitape,56,PF,1554714000,100,-16.5167,-151.75,83.95,18.12
331,kitgum,20,UG,1554714000,33,3.2965,32.8818,89.44,5.03
332,valparaiso,68,US,1554714000,93,41.4731,-87.0612,57.69,9.73
333,gidam,0,IN,1554714000,26,18.9754,81.3971,97.63,13.04
334,port-gentil,92,GA,1554714000,92,-0.7194,8.7815,84.3,4.25
335,souillac,92,FR,1554714000,76,45.6006,-0.6,49.59,11.63
336,anloga,64,GH,1554714000,78,5.7947,0.8973,83.94,11.07
337,ambilobe,0,MG,1554714000,69,-13.1945,49.05,86.83,11.36
338,faya,0,SA,1554714000,30,18.3851,42.4509,94.26,1.68
339,bambanglipuro,88,ID,1554714000,74,-7.95,110.2833,82.24,5.26
340,fort nelson,0,CA,1554714000,78,58.8063,-122.694,22.47,2.24
341,aksarayskiy,68,RU,1554714000,88,46.7924,48.0119,57.63,10.29
342,nioro,0,GM,1554714000,25,13.7912,-15.0495,84.58,10.58
343,anadyr,0,RU,1554714000,57,64.7317,177.5061,5.73,8.05
344,umm kaddadah,0,SD,1554714000,8,13.6017,26.6876,99.16,7.49
345,khonsa,88,IN,1554714000,94,26.991,95.5061,64.51,1.57
346,port hardy,32,CA,1554714000,92,50.6996,-127.4199,40.65,2.68
347,scarborough,0,GB,1554714000,83,54.2848,-0.4091,53.33,9.01
348,chauk,0,MM,1554714000,41,20.8948,94.8198,93.67,1.79
349,rassvet,76,MD,1554714000,60,47.2048,28.4297,58.29,9.35
350,goundam,0,ML,1554714000,23,16.4169,-3.6637,80.44,10.36
351,ziyang,0,CN,1554714000,33,30.1236,104.6481,90.61,6.38
352,kahului,12,US,1554714000,98,20.8894,-156.4728,68.91,8.79
353,lamesa,0,US,1554714000,82,32.7376,-101.951,49.51,3.2
354,karratha,80,AU,1554714000,49,-20.7371,116.8479,89.8,11.92
355,douentza,0,ML,1554714000,25,15.0069,-2.953,81.43,4.88
356,half moon bay,68,US,1554714000,98,37.4636,-122.4286,56.23,4.81
357,muros,92,ES,1554714000,100,42.7744,-9.0576,51.99,14.83
358,puerto leguizamo,92,CO,1554714000,93,-0.1934,-74.7819,73.96,2.86
359,benguela,76,AO,1554714000,95,-12.5791,13.4037,81.34,2.86
360,moussoro,0,TD,1554714000,17,13.6406,16.4908,105.46,10.63
361,muscat,32,OM,1554714000,52,23.5998,58.5451,104.54,2.46
362,flin flon,88,CA,1554714000,87,54.7698,-101.879,26.35,6.22
363,pundaguitan,12,PH,1554714000,92,6.3711,126.1689,83.95,5.1
364,voh,56,NC,1554714000,100,-20.95,164.6872,77.29,23.67
365,zhicheng,80,CN,1554714000,57,35.041,112.5917,63.78,18.86
366,gazanjyk,88,TM,1554714000,86,39.2446,55.5154,61.36,3.24
367,havre-saint-pierre,0,CA,1554714000,86,50.2334,-63.5987,6.9,11.41
368,xianshuigu,88,CN,1554714000,57,38.985,117.3828,53.37,19.57
369,talcahuano,88,CL,1554714000,100,-36.7167,-73.1167,52.62,7.27
